category,filename,hashtag,source,description,people,faces,females,alcohol_visible,words_on_image,proportion_females,labels
anti_soc,as48.png,#DrunkFalls,https://www.instagram.com/p/6zfxTZgA6h/,"A collage of two images shows a before and after picture of a woman’s face. In one image she is shown with styled hair and make-up on. On the other image she is disheveled with unwashed hair and a large, bloody wound covering the entire left half of her face.",1,2,1.0,0,0,1.0,Drunk Falls
anti_soc,as49.png,#TooDrunkToFunction,https://www.instagram.com/p/4ahX6FjrRG/,A man is lying on the floor of a hallway of what looks like a hotel or apartment building. His pants are half down and he appears to be sleeping.,1,1,0.0,0,0,0.0,Too Drunk To Function
anti_soc,as52.png,#DrunkIdiot,https://www.instagram.com/p/CGL5_uyjHlX/,A man is lying face-down in a large bush having evidently lost control and fallen in head first. His arms are down meaning he was not aware enough to catch his fall.,1,0,0.0,0,0,0.0,Drunk Idiot
anti_soc,as53.png,#IcingAlcoholWounds,https://www.instagram.com/p/Zkd5PBMDQc/,"A woman is shown on a train standing in the path between the seats, bend over and holding an ice pack to her lower back. She is making a pained face.",1,1,1.0,0,0,1.0,Icing Alcohol Wounds
anti_soc,as54.png,#PassedOutDrunk,https://www.instagram.com/p/CEreqElgCnT/,A man is lying on his back next to an ATM and a casino game machine. His feet are awkwardly propped up against the wall and he is evidently sleeping or unconscious. A second man poses for the image next to the sleeping man making a funny face.,2,2,0.0,0,0,0.0,Passed Out Drunk
anti_soc,as55.png,#DrunkShame,https://www.instagram.com/p/CEByvzqBdnJ/,"A man lies on his back sleeping in a bed. A closeup of his head is shown and we see a can of an alcoholic drink in the background. Around his head, an assortment of makeup is laid out. An elf puppet is sitting next to him and was made to look like it is holding and eye shadow pallet. The man’s face is completely covered in makeup including eye shadow and lip stick and his finger nails are painted.",1,1,0.0,1,0,0.0,Drunk Shame
anti_soc,as56.png,#PassedOutDrunk,https://www.instagram.com/explore/tags/passedoutdrunk/,"A collage of two images is shown. In the first image, titled “Yoga master”, a woman is performing a back bend. In the second image, entitled “Jägermeister”, a man is lying bent over backwards on a park bench with his head and feet hanging on the ground. He is evidently sleeping or unconscious.",2,2,1.0,0,0,0.5,Passed Out Drunk
anti_soc,as58.png,#TooDrunkToParty,https://www.instagram.com/p/CAWYW2KKdrR/,A man is hanging over a toilet bowl with his face directly over the bowl.,1,0,0.0,0,0,0.0,Too Drunk To Party
anti_soc,as59.png,#LameDrunk,https://www.instagram.com/p/CEyAWJPliRO/,A woman is sleeping on a couch with her mouth open. Someone has balanced a large bottle of alcohol on her head.,1,1,1.0,1,0,1.0,Lame Drunk
pro_prof,pp5.png,#Heineken,https://www.instagram.com/p/BueHRBYAoVw/,"A woman is dancing, looking happy and smiling and holding a Heineken beer bottle into the camera.",1,1,1.0,1,0,1.0,Heineken
pro_prof,pp12.png,#Heineken,https://www.instagram.com/p/BhebBFQA01-/,"Two women and two men are depicted with their arms over each others shoulders. The two women are laughing heartily and holding Heineken beer bottles, with one of the men looking on smiling and the other taking a sip out of a bottle.",4,3,2.0,1,0,0.5,Heineken
